ClientID,subClientID,Entity1,Team,strActiveBroker,strActiveTrader,strLiquidityProvider,strMarketMaker,Accreditation,Deal_Source_Group,House_Client,Clearing_Fee,rebateAmount,Net_Revenue,Product1,Year_Month,Currency,Clearing_Member,Fiscal_Year,Fiscal_Quarter,Fiscal_Month,Fiscal_Half,Net_Revenue_SGD,Business_Type_Group,Entity2,Country,masDesc_final,Business_Type,Final_Allocation,Region_Group,Traded_Volume,Net_Revenue_Adjusted,Clearing_Fee_SGD,Rebates_SGD,Entity,Tier,Account_Manager,Net_Revenue_Factor,Product_Group,Product_Group1,Product_Type,Product_Type2,Product2,Product2_Label,Product1_Label,Member_Short_Name,Trading_Days,RegionAllocation,TeamAllocation,masDescription,Trade_Session,BUM_Disclosure_Year
5121,5121,ALACROFT,China,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,TOHL,Screen,Client,17855.5,0,64,3MF,2023-07,USD,S389,2023,Q3,7,2H,619.2,PTG,Undisclosed,India,LiquidityProvider,Advisory Firm,0.125,China,9679,535.5564,632.90625,2298.588353,ALACROFT,GAM,Yan Xuan Li,,Commods,Commods,Oil,Oil,Oil,Oil,Platts Singapore FO 380cst Index Futures,JP Morgan,19,1,1,ActiveTrader,T,FY17
5121,5121,ALACROFT,China,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,LUSHB|GOCSEIR,Screen,Client,133.5,1002.130324,15346.65049,ACF,2024-05,USD,S011,2023,Q2,5,1H,3.096,Buy-Side,CIFCO Group,India,LiquidityProvider,Advisory Firm,1,Europe,3134,1970,233.9286,4278.2592,ALACROFT,Tier 1,Craig Cohen,,Commods,Commods,Coking Coal,Coking Coal,Coking Coal,Coking Coal,Coking Coal Futures,Morgan Stanley,20,1,1,MarketMaker,T,FY23
5121,5121,ALACROFT,GAM,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,LUSHB|KOHBRENNA,Screen,Client,2553,3288.45,18890.3,AMF,2025-06,USD,S866,2024,Q2,6,1H,207.045,Trading Firms,Holaspa Global Trading,India,ActiveTrader,Advisory Firm,1,SG ROA,100,696.213,1080.504,0,ALACROFT,Tier 2,Renaud Gocsei,,Commods,Commods,Dairy,Dairy,Dairy,Dairy,SGX-NZX Global Anhydrous Milk Fat (AMF) Futures,JP Morgan,21,1,1,LiquidityProvider,T,FY14
5121,5121,ALACROFT,China,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,WANGV,Screen,Client,1115.45,2141.605739,15,BRL,2024-08,USD,S061,2024,Q3,8,2H,121.4162806,Brokerage/Agency,Broad Reach,India,LiquidityProvider,Advisory Firm,0.5,Hong Kong,390,1.29,261.612,0,ALACROFT,Tier 1,Vivian Wang Min,,Financials,FX/IR,FX,FX,BRL,SGX BRL/USD Futures,SGX BRL/USD Futures,CIMB,22,1,1,ActiveTrader,T+1,FY15
5121,5121,ALACROFT,SGROA RM,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,WANGV,NLT,Client,93673.8,0,69.3,BZ,2022-07,USD,S389,2022,Q3,7,2H,27187.29825,PTG,White Oak AM,India,ActiveTrader,Advisory Firm,0.25,Hong Kong,384,42.40875,28038.15,0,ALACROFT,Tier 1,Britney Tan Hwee Sian,,Commods,Commods,Petchem,Petchem,Petchem,Petchem,Platts BZ FOB Korea Swap,SG Securities,20,1,1,LiquidityProvider,T,FY23
5121,5121,ALACROFT,Commodities Sales,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,KOHBRENNA|GROTHK,NLT,Client,456.5,2100,151.914835,BZF,2023-03,USD,S009,2022,Q1,3,1H,258,Brokerage/Agency,Quantree Investment,India,ActiveTrader,Advisory Firm,1,SG ROA,25223,361.845,2.58,21.672,ALACROFT,Tier 1,Lily Chia,,Commods,Commods,Petchem,Petchem,Petchem,Petchem,Platts BZ FOB Korea Futures,ABN Amro,21,1,1,ActiveBroker,T,FY23
5121,5121,ALACROFT,Commodities Sales,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,DAVEYC|LEEKJ,NLT,Client,3093,36.94002869,0,BZN,2022-05,USD,S020,2021,Q2,5,1H,32.637,Brokers Prop,Boronia Diversified Fund (Master) Ltd,India,ActiveTrader,Advisory Firm,1,SG ROA,200,5073.828,6193.29,0,ALACROFT,GAM,Carl Davey,,Commods,Commods,Petchem,Petchem,Petchem,Petchem,BZ-Naphtha Spread Swap,Citigroup,21,1,1,LiquidityProvider,T,FY18
5121,5121,ALACROFT,Omnibus,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,KOHBRENNA|GROTHK,Screen,Client,197.4,0,40,BZNF,2024-06,USD,S339,2023,Q2,6,1H,-77008.4348,Brokerage/Agency,Coin Hako,India,LiquidityProvider,Advisory Firm,1,China,6.75,154.8,464.4,164.088,ALACROFT,Tier 1,Kenneth Ng Say Chong,,Commods,Commods,Petchem,Petchem,Petchem,Petchem,BZ-Naphtha Spread Futures,ABN Amro,20,1,1,LiquidityProvider,T,FY24
5121,5121,ALACROFT,Commodities Sales,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,KOHBRENNA,Screen,Client,2505,0,1246.8,CN,2021-10,USD,S009,2021,Q4,10,2H,1410.895447,Buy-Side,Mansukh Securities,India,MarketMaker,Advisory Firm,1,SG ROA,1151,123.84,387,4310.687327,ALACROFT,Tier 1,Renaud Gocsei,,Financials,Equity Derivatives,Equity,Equity Index,CN,China A50 Index Futures,China A50 Index Futures,Merrill Lynch,21,1,1,LiquidityProvider,T,FY23
5121,5121,ALACROFT,GAM,ActiveBroker,ActiveTrader,LiquidityProvider,MarketMaker,WANGD,Screen,Client,10096.4,0,9115.59,CWF,2023-10,SGD,S389,2023,Q4,10,2H,0,Brokerage/Agency,Citigroup Prop,India,ActiveTrader,Advisory Firm,1,Hong Kong,1,935.25,29680.925,0,ALACROFT,Tier 1,Lily Chia,,Commods,Commods,FFA,FFA,FFA,FFA,Capesize Time Charter Average (5 Routes) Futures,OCBC Securities,22,1,1,MarketMaker,T+1,FY15
